192.168.11.101  172.16.73.109
192.168.80.103  172.16.104.46
192.168.80.104  172.16.104.6
192.168.80.106  172.16.104.41
192.168.80.107  172.16.104.47
192.168.80.108  172.16.104.7
192.168.80.109  172.16.104.1
192.168.80.110  172.16.104.24
192.168.80.23   172.16.104.25
192.168.80.24   172.16.104.9
192.168.80.32   172.16.104.29
192.168.80.33   172.16.104.4
192.168.80.34   172.16.104.26
192.168.80.35   172.16.104.10
192.168.80.42   172.16.104.5
192.168.80.44   172.16.104.18
192.168.80.47   172.16.104.11
192.168.80.52   172.16.104.43
192.168.80.54   172.16.104.19
192.168.80.55   172.16.104.12
192.168.80.56   172.16.104.70
192.168.80.62   172.16.104.44
192.168.80.64   172.16.104.13
192.168.80.65   172.16.104.71
192.168.80.7    172.16.104.62
192.168.80.73   172.16.104.14
192.168.80.74   172.16.104.72
192.168.80.77   172.16.104.39
192.168.80.81   172.16.104.30
192.168.80.8    172.16.104.54
192.168.80.82   172.16.104.27
192.168.80.83   172.16.104.28
192.168.80.91   172.16.104.52
192.168.80.95   172.16.104.15
192.168.80.96   172.16.104.58
192.168.80.97   172.16.104.56
